package,protocol,requested,resolved
"@esbuild/linux-arm","npm","0.18.20","0.18.20"
"@esbuild/linux-arm","npm","0.19.12","0.19.12"
"@esbuild/linux-arm","npm","0.20.2","0.20.2"
"@esbuild/linux-arm","npm","0.21.5","0.21.5"
"@esbuild/linux-arm","npm","0.23.1","0.23.1"
"@esbuild/linux-arm64","npm","0.18.20","0.18.20"
"@esbuild/linux-arm64","npm","0.19.12","0.19.12"
"@esbuild/linux-arm64","npm","0.20.2","0.20.2"
"@esbuild/linux-arm64","npm","0.21.5","0.21.5"
"@esbuild/linux-arm64","npm","0.23.1","0.23.1"
"@esbuild/linux-ia32","npm","0.18.20","0.18.20"
"@esbuild/linux-ia32","npm","0.19.12","0.19.12"
"@esbuild/linux-ia32","npm","0.20.2","0.20.2"
"@esbuild/linux-ia32","npm","0.21.5","0.21.5"
"@esbuild/linux-ia32","npm","0.23.1","0.23.1"
"@esbuild/linux-loong64","npm","0.18.20","0.18.20"
"@esbuild/linux-loong64","npm","0.19.12","0.19.12"
"@esbuild/linux-loong64","npm","0.20.2","0.20.2"
"@esbuild/linux-loong64","npm","0.21.5","0.21.5"
"@esbuild/linux-loong64","npm","0.23.1","0.23.1"
"@esbuild/linux-mips64el","npm","0.18.20","0.18.20"
"@esbuild/linux-mips64el","npm","0.19.12","0.19.12"
"@esbuild/linux-mips64el","npm","0.20.2","0.20.2"
